,0
0,GuzmanRosemaryK
1,DuttaSankarPrasad
2,NikolaevIgorG
3,HungPei-Ken
4,HaboushWilliamJ
5,CooneyDanielB
6,DoddChristopher
7,DuursmaIwanMaynard
8,IvanovSergeiVladimirovich
9,LaNaveGabriele
10,McCarthyRandy
11,MineyevIgor
12,KatzSheldonH
13,BradlowStevenBenjamin
14,JandaFelix
15,PascaleffJamesThomas
16,LiuYuan
17,TumanovAlexander
18,TysonJeremyT
19,FernandesRuiLoja
20,YongAlexanderTF
21,LiXiaochun
22,StojanoskaVesna
23,KermanEly
24,HiraniAnilN
25,DunfieldNathanM
26,AlbinPierre
27,TolmanSusan
28,HellerJeremiahBen
29,RezkCharlesW
30,BaryshnikovYuliyM
31,Berwick-EvansDaniel
32,DeyParthaSarathi
33,KirrEduard
34,ReznickBruce
35,RasmussenSarahDean
36,LermanEugeneM
37,HinkkanenAimo
38,SongRenming
39,RasmussenJacob
40,ZharnitskyVadim
41,KirkpatrickKayLene
42,AhlgrenScottD
43,TzirakisNikolaos
44,ThornerJesse
45,LeditzkyFelix
46,ErdoğanMehmetBurak
47,HurVeraMikyoung
48,DiFrancescoPhilippe
49,KedemRinat
50,OikhbergTimur
51,KutzarovaDenkaN
52,JungeMarius
53,ZaharescuAlexandru
54,RaptiZoi
55,BronskiJaredC
56,FordKevinB
57,BocaFlorin-Petre
58,KostochkaAlexandrV
59,BaloghJózsef
60,DeVilleRELee
61,LaugesenRichardSnyder
62,FengRunhuan
63,WuXuan
64,JingXiaochen
65,YoungAmanda
66,SowersRichardB
67,FadinaTolulope
68,WeiWei
