,0
0,HaboushWilliamJ
1,FernandesRuiLoja
2,StojanoskaVesna
3,ReznickBruce
4,TumanovAlexander
5,FordKevinB
6,TysonJeremyT
7,BaryshnikovYuliyM
8,HinkkanenAimo
9,KatzSheldonH
10,LiXiaochun
11,RezkCharlesW
12,DunfieldNathanM
13,BradlowStevenBenjamin
14,LermanEugeneM
15,McCarthyRandy
16,SowersRichardB
17,IvanovSergeiVladimirovich
18,AhlgrenScottD
19,HellerJeremiahBen
20,YongAlexanderTF
21,RasmussenJacob
22,LaNaveGabriele
23,OikhbergTimur
24,GuzmanRosemaryK
25,LaugesenRichardSnyder
26,HiraniAnilN
27,KutzarovaDenkaN
28,AlbinPierre
29,DuursmaIwanMaynard
30,BocaFlorin-Petre
31,NikolaevIgorG
32,Berwick-EvansDaniel
33,LiuYuan
34,KedemRinat
35,DoddChristopher
36,YoungAmanda
37,TolmanSusan
38,RasmussenSarahDean
39,PascaleffJamesThomas
40,TzirakisNikolaos
41,DiFrancescoPhilippe
42,SongRenming
43,ErdoğanMehmetBurak
44,JandaFelix
45,DuttaSankarPrasad
46,KermanEly
47,MineyevIgor
48,ZaharescuAlexandru
49,KirkpatrickKayLene
50,ThornerJesse
51,JungeMarius
52,KostochkaAlexandrV
53,HungPei-Ken
54,RaptiZoi
55,DeyParthaSarathi
56,BaloghJózsef
57,HurVeraMikyoung
58,KirrEduard
59,BronskiJaredC
60,ZharnitskyVadim
61,LeditzkyFelix
62,DeVilleRELee
63,CooneyDanielB
64,WuXuan
65,FengRunhuan
66,FadinaTolulope
67,JingXiaochen
68,QuanZhiyu
69,WeiWei
