,0,1,2,3,4,5,6,7,8,9,10
0,BaryshnikovYuliyM,AlbinPierre,AhlgrenScottD,IvanovSergeiVladimirovich,BronskiJaredC,BradlowStevenBenjamin,Berwick-EvansDaniel,CooneyDanielB,DunfieldNathanM,BaloghJózsef,DiFrancescoPhilippe
1,DeyParthaSarathi,FernandesRuiLoja,BocaFlorin-Petre,LiuYuan,ErdoğanMehmetBurak,HaboushWilliamJ,HiraniAnilN,FadinaTolulope,GuzmanRosemaryK,DeVilleRELee,JungeMarius
2,SongRenming,HungPei-Ken,FordKevinB,MineyevIgor,HurVeraMikyoung,HellerJeremiahBen,McCarthyRandy,FengRunhuan,RasmussenJacob,DoddChristopher,KirkpatrickKayLene
3,SowersRichardB,KermanEly,ReznickBruce,,KirrEduard,JandaFelix,RezkCharlesW,JingXiaochen,RasmussenSarahDean,DuttaSankarPrasad,KutzarovaDenkaN
4,WeiWei,LaNaveGabriele,ThornerJesse,,LaugesenRichardSnyder,KatzSheldonH,StojanoskaVesna,QuanZhiyu,,DuursmaIwanMaynard,LeditzkyFelix
5,WuXuan,LermanEugeneM,ZaharescuAlexandru,,RaptiZoi,YongAlexanderTF,,,,HinkkanenAimo,OikhbergTimur
6,,NikolaevIgorG,,,TzirakisNikolaos,,,,,KedemRinat,YoungAmanda
7,,PascaleffJamesThomas,,,ZharnitskyVadim,,,,,KostochkaAlexandrV,
8,,TolmanSusan,,,,,,,,LiXiaochun,
9,,TysonJeremyT,,,,,,,,TumanovAlexander,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
