,Unnamed: 0,"Boca, Florin P.","Baryshnikov, Yuliy","Ahlgren, Scott","Albin, Pierre","Balogh, József","Biswas, Indranil","Barthel, Tobias","Bronski, Jared C.","Cooney, Daniel B.","Dey, Partha S.","Nijholt, Eddie","Di Francesco, Philippe","Cautis, Sabin","Dutta, S. P.","Erdoğan, M. Burak","Bellini, Fabio","Loja Fernandes, Rui","Ford, Kevin","Duursma, Iwan","Balaji, Vikraman","Gepner, David","Guzman, R. K.","Hinkkanen, Aimo","Choi, Beomjun","Wang, Minmiao","Feng, Runhuan","Hur, Vera Mikyoung","Ivanov, S. V.","Dunfield, Nathan M.","Kerman, Ely","Clader, Emily","Kirkpatrick, Kay","Lee, Kiryung","Kirr, E.","Katz, Sheldon","Kim, Jaehoon","Fan, Cunwei","Freitas, Pedro","Berwick-Evans, Daniel","Chen, Xuezhi","Ford, K.","Leditzky, Felix","Bauer, Kristine","Lam, Yeuk Hay Joshua","Yu, Haizi","Berg, I. D.","Quan, Zhiyu","Helemskii, A. Ya.","Rapti, Z.","Pascaleff, James","Hanselman, Jonathan","Rasmussen, Sarah Dean","Bergner, Julia E.","Matusevich, Laura Felicia","Matin, Hossein Nick Zinat","Panidapu, Apoorva","Ren, Yan-Xia","Beaudry, Agnès","Jang, Donghoon","Chrontsios Garitsis, Efstathios K.","Tumanov, Alexander","Chi, Yichun","Wu, Xuan","Hodges, Reuven","Lucia, Angelo","Erdoğan, M. B.","Wayne, C. E.","Basak, Debmalya"
0,"Boca, Florin P.",0.09877266443385894,8.317217058800408,2.7635969880743443,24.82958253115391,20.766604438970642,17.460709386373633,13.120529661757084,12.726945683422228,11.26873233699471,17.921098048550395,11.925742889385512,16.251658637400613,6.280864950403639,12.14644075309062,8.35770599772376,7.864115622162137,21.808466447096063,1.4323825390078961,6.944188571858192,9.74826231894799,19.52365389918993,4.556921874010672,19.78220352082317,13.429158235495388,14.90880070621781,7.385348998756863,13.404781892937462,19.235169115315887,13.214705450646289,17.431523955515075,17.63478926258016,17.576957688523454,3.3193216283153215,6.521101624124621,26.275791158385726,36.78344624451233,14.736486288747344,5.747924398799035,19.601582708877295,6.714579117747694,23.723681008330637,19.52365389918993,11.494621074390336,12.52083680262509,7.263475795221641,7.242484417166896,3.314281186891387,7.328570296722846,6.994537759034365,6.676342998648343,20.23914003206266,9.369666325028804,17.373003296123365,4.444632595866091,17.605897652681968,2.469562910264371,9.095914695158562,17.835696654826616,19.445407656600377,7.3328793609963006,16.867226544138234,9.146042053219235,11.890118089681613,27.846080982763795,7.789309354682567,9.55128770747366,8.788478844261727,0.21981351812034336
1,"Baryshnikov, Yuliy",8.317217058800408,0.08104398022865078,22.079176962019115,2.254543962598025,6.917268322560941,4.357777610949499,6.545465359590722,8.47476414142294,11.239133394419069,2.981916517662459,2.3821886836195385,8.111029847412487,12.532130958231637,12.116841810514979,4.17391984176594,7.834516679586497,2.722358438065053,30.05043437659018,6.934322257666313,9.71866337637235,9.747027478307146,1.5091076438116773,6.58420152608251,4.466519764306582,3.7198004409105425,7.355750056181223,6.6949912108248215,19.20557017274025,8.799937319572313,2.4859892875627767,8.80259516000226,5.849119581982605,6.160226032217649,6.506302152836801,6.561548053952522,18.376923650968344,7.3534436730858515,2.2084633116476566,2.446497970787707,6.699779646459874,23.694082065754998,9.747027478307146,11.465022131814695,12.491237860049448,7.248676323933821,2.4042951581970855,3.2846822443157473,29.284682244315746,4.653158858497696,4.441029018240348,6.736513696495674,9.340067382453164,17.343404353547726,17.748931440888725,1.5978453372823935,19.726904339539328,3.635405983805861,8.903048856125489,3.8831617428049476,2.2539937308776588,2.1047034501953243,9.116443110643594,5.930259573552986,2.5287710945625594,7.774509883394747,9.536488236185841,0.43868396864869535,7.248912940875392
2,"Ahlgren, Scott",2.7635969880743443,22.079176962019115,0.09157350721724104,24.817912492796815,41.52153883958419,17.449039348016537,4.369619874466662,25.44222132848736,11.25706229863761,17.9094280101933,23.83981574041393,8.119994299521759,12.550059862450178,12.13477071473352,12.530723977407092,7.852445583805038,21.796796408738967,2.312951021600671,6.940298559072494,9.73659228059089,19.511983860832835,4.545251835653573,19.770533482466075,13.417488197138288,14.897130667860711,7.373678960399764,26.79789374751783,19.22349907695879,3.7739629804193546,17.41985391715798,17.623119224223064,8.782643825083179,43.13951112974208,13.030533209892143,8.754707040009544,36.77177620615523,14.724816250390244,28.72795195563808,9.7949563352601,4.472496065712763,23.71201096997354,19.511983860832835,11.482951036033237,2.0848611273779984,14.515281552086183,7.230814378809797,3.302611148534288,29.30261114853429,13.977405479711631,13.341015958939586,20.227469993705565,9.357996286671705,5.787111085922089,8.883430172553634,17.594227614324872,0.7051726158484953,36.37198874227715,4.45600665411738,9.71686880912164,29.319847405628106,16.855556505781138,9.134372014862135,5.939224025662257,13.91720547220335,15.566948671008035,19.090905376590225,17.565287650166358,0.596046665061245
3,"Albin, Pierre",24.82958253115391,2.254543962598025,24.817912492796815,0.08144618386798182,41.50431546911333,3.486363195509136,1.636454531616141,12.71249897900825,11.239838928166753,17.89220463972244,11.911296184971535,16.22276522857266,12.532836491979321,12.117547344262663,6.261056146085831,7.8352222133341805,4.355914607653622,30.051139910337863,20.803672306746623,3.239789636706678,19.494760490361976,4.528028465182715,6.5844367039984055,4.466754942222477,4.959969099129951,7.356455589928906,6.695167594261743,9.603137853243966,2.933390832496069,2.4860900780981603,4.401473963438051,8.77403213984775,8.624457551854245,13.013309839421286,13.123448874778886,36.75455283568437,2.101084697131341,5.742145717033444,2.174743255561038,13.400264826667431,23.694787599502682,19.494760490361976,11.46572766556238,12.491943393797133,7.249029090807663,7.213591008338939,3.2853877780634306,14.642693889031715,13.960182109240774,13.323792588468729,6.736748874411568,9.340772916200848,5.781369962431803,17.74963697463641,5.859001414618004,19.72760987328701,18.177382685903147,17.806803245998662,1.9416514247772423,3.662828004394656,5.612777711770093,9.117148644391278,11.861224680853656,27.81718757393584,15.549725300537178,19.073682006119366,8.77403213984775,10.873545794750008
4,"Balogh, József",20.766604438970642,6.917268322560941,41.52153883958419,41.50431546911333,0.04849285610711753,17.36663913496711,13.026459410350558,5.071964223087586,11.174662085588183,1.782702779714387,3.3939165039092143,16.15758838599409,12.467659649400751,12.052370501684093,8.32634924725492,7.770045370755611,21.714396195689538,1.4992981533879646,10.369247732084027,9.654192067541464,19.429583647783407,4.462851622604146,19.688133269416646,13.335087984088862,14.814730454811285,7.291278747350336,26.7154935344684,3.8282197727818725,6.583835162471513,17.33745370410855,17.540719011173636,5.827629145705643,10.764277729173163,6.474066498421358,26.1817209069792,0.12918794363769648,14.642416037340817,9.548517247529551,19.50751245747077,4.44502932802962,2.953701344615514,19.429583647783407,11.40055082298381,12.426766551218563,14.432881339036756,7.14841416576037,3.220210935484861,9.740070311828287,13.895005266662205,13.25861574589016,20.145069780656137,9.275596073622278,17.27893304471684,5.89482004401928,3.5023654802550888,19.662433030708442,12.096529509742574,17.741626403420092,19.351337405193853,29.237447192578678,16.77315629273171,4.525985900906354,5.898023919137543,1.8501340487571514,7.742274228979304,19.008505163540796,17.48288743711693,4.825445148491273
5,"Biswas, Indranil",17.460709386373633,4.357777610949499,17.449039348016537,3.486363195509136,17.36663913496711,0.11624697084394744,13.147198575091444,25.480560280178818,11.29540125032907,17.947766961884756,11.939077346052693,16.278327550734975,12.588398814141637,12.17310966642498,25.099786906505642,7.890784535496498,7.278378453476808,30.10670223250018,10.42961731445447,4.887465616141175,9.775161406262146,4.583590787345033,9.904436217078766,13.455827148829748,14.93546961955217,7.4120179120912235,26.836232699209287,19.26183802865025,8.818693271542314,17.458192868849437,17.66145817591452,17.603626601857815,21.58892504071677,13.068872161583602,2.630246007172009,36.81011515784669,1.6403505780090781,28.766290907329537,3.2713752703686096,13.455827148829748,23.750349921665,19.550322812524293,11.521289987724696,12.54750571595945,14.553620503777642,7.269153330501257,3.340950100225748,29.340950100225747,14.01574443140309,6.689677455315523,5.066452236349256,9.396335238363164,17.399672209457727,17.805199296798726,17.63256656601633,19.78317219544933,36.41032769396861,8.93118278408049,3.2453460949891233,29.358186357319564,16.893895457472595,9.172710966553595,5.958393501507986,6.968187474024539,15.605287622699494,19.129244328281683,17.603626601857815,21.774872750581174
6,"Barthel, Tobias",13.120529661757084,6.545465359590722,4.369619874466662,1.636454531616141,13.026459410350558,13.147198575091444,0.15522725424079634,25.533599081117554,11.348440051267804,18.000805762823493,23.931193493044123,16.33136635167371,12.641437615080372,12.226148467363714,25.15282570744438,7.943823336435233,2.43201935126324,30.159741033438916,20.912273429847676,4.9139850166105425,19.60336161346303,4.636629588283768,19.86191123509627,13.508865949768483,14.988508420490906,7.465056713029958,26.889271500148023,19.314876829588986,26.509118615565676,17.511231669788174,17.71449697685326,17.656665402796552,43.23088888237228,13.121910962522337,6.588874718164706,36.863153958785425,7.408097001510219,28.819329708268274,0.9840645211575196,13.508865949768483,23.803388722603735,19.60336161346303,11.574328788663431,12.600544516898184,14.606659304716377,7.322192131439992,3.3939889011644824,29.393988901164484,14.068783232341826,13.43239371156978,20.31884774633576,9.4493740393019,1.0266300594350861,17.858238097737463,17.685605366955066,19.836210996388065,36.46336649490735,2.9859007281832857,2.789302195839068,29.4112251582583,16.946934258411332,9.22574976749233,11.969825803954707,27.925788697036893,15.65832642363823,19.18228312922042,17.656665402796552,43.602784302101085
7,"Bronski, Jared C.",12.726945683422228,8.47476414142294,25.44222132848736,12.71249897900825,5.071964223087586,25.480560280178818,25.533599081117554,0.07943004796193703,5.618142259622667,5.962883410267007,0.17909051098512518,16.219210819651238,12.529282083057902,12.113992935341244,0.9274322287193298,7.831667804412761,7.2586728764488955,30.047585501416442,5.200029474456301,9.715814501198615,19.491206081440556,4.524474056261296,9.874877851536898,13.396710417746013,4.9587842961561455,7.3529011810074865,0.29425402162775327,9.601360648783256,26.396963083543202,17.3990761377657,17.602341444830785,5.848169956924693,14.37291111678327,0.7652797312058746,26.24334334063635,18.375499213381477,14.704038470997968,3.588396772030725,4.89228372278198,13.396710417746013,23.69123319058126,9.745603040720278,11.46217325664096,12.488388984875714,14.494503772693907,7.21003659941752,3.281833369142011,14.640916684571005,0.16042100804964776,6.660119089773655,6.735564071437762,9.33721850727943,17.34055547837399,8.873041282857494,8.786724917466296,9.862027732182796,7.270242192576975,17.80324883707724,9.706479919425501,7.324767406558957,8.41738936319443,9.11359423546986,11.857670271932237,5.5627266330028835,7.7730854458078795,2.1189030663553274,1.5949554427976436,6.212946967154088
8,"Cooney, Daniel B.",11.26873233699471,11.239133394419069,11.25706229863761,11.239838928166753,11.174662085588183,11.29540125032907,11.348440051267804,5.618142259622667,0.18106530826617062,18.032334556080958,5.990680571575397,16.362895144931176,12.672966408337839,12.25767726062118,25.184354500701843,7.975352129692698,21.919702954626626,30.19126982669638,20.94380222310514,9.859498826478552,19.634890406720494,4.668158381541233,19.893440028353734,13.54039474302595,15.020037213748372,7.496585506287424,26.920800293405488,19.34640562284645,26.54064740882314,17.54276046304564,17.746025770110723,17.688194196054017,43.26241767562974,13.153439755779804,26.38702766591629,36.89468275204289,7.4238613981389525,9.616952833841912,19.71281921640786,13.54039474302595,23.8349175158612,19.634890406720494,11.605857581920898,12.63207331015565,14.638188097973844,7.353720924697457,3.4255176944219485,29.42551769442195,14.100312025599292,13.463922504827247,20.350376539593224,9.480902832559366,17.484239803653928,17.889766890994927,17.71713416021253,19.86773978964553,12.164965096054937,17.94693316235718,19.55664416413094,29.442753951515765,16.978463051668797,9.257278560749796,12.001354597212174,27.957317490294358,15.689855216895696,19.213811922477884,17.688194196054017,43.63431309535855
9,"Dey, Partha S.",17.921098048550395,2.981916517662459,17.9094280101933,17.89220463972244,1.782702779714387,17.947766961884756,18.000805762823493,5.962883410267007,18.032334556080958,0.11322711808140842,4.774739393271399,8.136934912493292,12.583941088393246,12.168651940676588,25.09532918075725,7.8863268097481045,21.830677634682033,7.525561126687947,10.427388451580274,9.770473506533959,19.5458650867759,4.5791330615966395,19.80441470840914,13.451369423081356,14.93101189380378,7.40756018634283,26.831774973460895,19.257380302901858,26.451622088878548,17.453735143101046,17.65700045016613,2.5141669823013464,8.634678471137029,13.06441443583521,26.298002345971696,12.268552477366098,14.758697476333312,28.761833181581146,19.623793896463265,13.451369423081356,11.872946097958303,9.77293254338795,11.516832261976305,6.271523995105529,14.54916277802925,7.2646956047528635,3.3364923744773547,14.668246187238678,14.0112867056547,13.374897184882654,20.26135121964863,9.391877512614773,17.395214483709335,17.800741571050334,5.876036280089313,19.778714469700937,3.3096245425654742,17.857907842412587,19.467618844186347,14.676864315785586,16.889437731724204,9.168253240805203,1.1912329277267582,9.289430723449922,15.600829896951103,19.12478660253329,17.599168876109424,43.545287775413954
