,Unnamed: 0,"Boca, Florin P.","Baryshnikov, Yuliy","Ahlgren, Scott","Albin, Pierre","Balogh, József","Biswas, Indranil","Barthel, Tobias","Bronski, Jared C.","Cooney, Daniel B.","Dey, Partha S.","Nijholt, Eddie","Di Francesco, Philippe","Cautis, Sabin","Dutta, S. P.","Erdoğan, M. Burak","Bellini, Fabio","Loja Fernandes, Rui","Ford, Kevin","Duursma, Iwan","Balaji, Vikraman","Gepner, David","Guzman, R. K.","Hinkkanen, Aimo","Choi, Beomjun","Wang, Minmiao","Feng, Runhuan","Hur, Vera Mikyoung","Ivanov, S. V.","Dunfield, Nathan M.","Kerman, Ely","Clader, Emily","Kirkpatrick, Kay","Lee, Kiryung","Kirr, E.","Katz, Sheldon","Kim, Jaehoon","Fan, Cunwei","Freitas, Pedro","Berwick-Evans, Daniel","Chen, Xuezhi","Ford, K.","Leditzky, Felix","Bauer, Kristine","Lam, Yeuk Hay Joshua","Yu, Haizi","Berg, I. D.","Quan, Zhiyu","Helemskii, A. Ya.","Rapti, Z.","Pascaleff, James","Hanselman, Jonathan","Rasmussen, Sarah Dean","Bergner, Julia E.","Matusevich, Laura Felicia","Matin, Hossein Nick Zinat","Panidapu, Apoorva","Ren, Yan-Xia","Beaudry, Agnès","Jang, Donghoon","Chrontsios Garitsis, Efstathios K.","Tumanov, Alexander","Chi, Yichun","Wu, Xuan","Hodges, Reuven","Lucia, Angelo","Erdoğan, M. B.","Wayne, C. E.","Basak, Debmalya"
10,"Nijholt, Eddie",0.5,0.1,1.0,0.5,0.14285714285714285,0.5,1.0,0.007518796992481203,0.25,0.2,0.0018018018018018018,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.2,1.0,0.3333333333333333,1.0,0.2,1.0,1.0,1.0,1.0,0.2,0.5,0.3333333333333333,1.0,0.25,1.0,0.125,0.014492753623188406,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538464,1.0,0.3333333333333333,1.0,1.0,0.5,0.06666666666666667,1.0,0.1,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.2,0.1111111111111111,0.3333333333333333
11,"Di Francesco, Philippe",1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.00392156862745098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.5,1.0,1.0,1.0
12,"Cautis, Sabin",0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006622516556291391,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.3333333333333333
13,"Dutta, S. P.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.0070921985815602835,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25
14,"Erdoğan, M. Burak",0.3333333333333333,0.16666666666666666,0.5,0.25,0.3333333333333333,1.0,1.0,0.037037037037037035,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.0016286644951140066,1.0,1.0,0.08333333333333333,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.043478260869565216,1.0,1.0,1.0,1.0,0.125,0.1,0.029411764705882353,1.0,0.5,1.0,0.1111111111111111,0.5,0.04,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1111111111111111,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.16666666666666666,1.0,1.0,0.1,0.3333333333333333,1.0,1.0,1.0,0.5,0.005128205128205128,0.01694915254237288,0.14285714285714285
15,"Bellini, Fabio",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.017241379310344827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0
16,"Loja Fernandes, Rui",1.0,0.125,1.0,0.2,1.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,0.0021598272138228943,1.0,0.5,1.0,0.3333333333333333,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.125,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.2,0.3333333333333333,0.02564102564102564,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.043478260869565216,0.2,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0
17,"Ford, Kevin",0.047619047619047616,1.0,0.07692307692307693,1.0,0.05,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,1.0,0.08333333333333333,1.0,1.0,0.0011273957158962795,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.2,0.5,1.0,1.0,0.14285714285714285,1.0,1.0,0.09090909090909091,1.0,1.0,1.0,0.125,0.02040816326530612,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,0.020833333333333332,0.25,1.0,1.0,0.25,1.0,1.0,0.25,0.5,1.0,0.3333333333333333,0.5,0.00510204081632653
18,"Duursma, Iwan",0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,0.25,1.0,0.5,0.5,1.0,0.3333333333333333,0.5,0.5,1.0,0.5,0.3333333333333333,0.002369668246445498,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.5,1.0,0.25,0.25,0.3333333333333333,1.0,1.0,1.0,0.5,0.16666666666666666,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,0.25,0.2,0.16666666666666666,1.0,0.5,1.0,1.0,0.3333333333333333,0.25,1.0,1.0,1.0,0.1111111111111111
19,"Balaji, Vikraman",1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.011111111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333
